                       Resultados das barras
Barra | Modulo (PU) |  Angulo (o) | Modulo da tensao (V)
  126 |    0.950291 |     -1.6775 |        7571.383
  127 |    0.950222 |     -1.6813 |        7570.827
  128 |    0.951621 |     -1.6152 |        7581.977
  129 |    0.949553 |     -1.6991 |        7565.500
  130 |    0.949553 |     -1.6991 |        7565.500
  131 |    0.950871 |     -1.6496 |        7576.001
  132 |    0.950941 |     -1.6466 |        7576.557
  133 |    0.949571 |     -1.6990 |        7565.648
  134 |    0.950515 |     -1.6661 |        7573.164
  135 |    0.951652 |     -1.6129 |        7582.221
  136 |    0.951715 |     -1.2054 |        7582.723
  137 |    0.951712 |     -1.2054 |        7582.700
  138 |    0.951686 |     -1.2053 |        7582.494
  139 |    0.951616 |     -1.2048 |        7581.937
  140 |    0.951635 |     -1.2049 |        7582.086
  141 |    0.951602 |     -1.2047 |        7581.826
  142 |    0.951710 |     -1.2055 |        7582.690
  143 |    0.951740 |     -1.2056 |        7582.930
  144 |    0.951740 |     -1.2056 |        7582.930
  145 |    0.951740 |     -1.2056 |        7582.930
  146 |    0.951744 |     -1.2057 |        7582.961
  147 |    0.951697 |     -1.2053 |        7582.584
  148 |    0.951698 |     -1.2053 |        7582.589
  149 |    0.951698 |     -1.2053 |        7582.594
  150 |    0.974222 |     -0.6748 |        7762.053
  151 |    0.974222 |     -0.6748 |        7762.053
  152 |    0.974127 |     -0.6767 |        7761.291
  153 |    0.974127 |     -0.6767 |        7761.291
  154 |    0.974127 |     -0.6767 |        7761.291
  155 |    0.951738 |     -1.2056 |        7582.909
  156 |    0.951730 |     -1.2055 |        7582.845
  157 |    0.951730 |     -1.2055 |        7582.845
  158 |    0.951716 |     -1.2054 |        7582.733
  159 |    0.951699 |     -1.2053 |        7582.600
  160 |    0.951700 |     -1.2053 |        7582.606
  161 |    0.994550 |     -0.2789 |        7924.010
  162 |    0.994550 |     -0.2789 |        7924.010
  163 |    0.994550 |     -0.2789 |        7924.010
  164 |    0.994550 |     -0.2789 |        7924.010
  165 |    0.995697 |     -0.2665 |        7933.151
  166 |    0.995806 |     -0.2601 |        7934.015
  167 |    0.994362 |     -0.2764 |        7922.513
  168 |    0.994336 |     -0.2762 |        7922.306
  169 |    0.950764 |     -1.1978 |        7575.152
  170 |    0.950772 |     -1.1979 |        7575.217
  171 |    0.960705 |     -1.0818 |        7654.354
  172 |    0.960705 |     -1.0818 |        7654.354
  173 |    0.960705 |     -1.0818 |        7654.354
  174 |    0.960705 |     -1.0818 |        7654.354
  175 |    0.960705 |     -1.0818 |        7654.354
  176 |    0.960705 |     -1.0818 |        7654.354
  177 |    0.951802 |     -1.2061 |        7583.418
  178 |    0.951769 |     -1.2058 |        7583.157
  179 |    0.994618 |     -0.2782 |        7924.549
  180 |    0.951709 |     -1.2054 |        7582.681
  181 |    0.951709 |     -1.2054 |        7582.676
  182 |    0.951740 |     -1.2056 |        7582.922
  183 |    0.995654 |     -0.2691 |        7932.806
  184 |    0.995638 |     -0.2693 |        7932.678
  185 |    0.995614 |     -0.2695 |        7932.487
  186 |    0.995377 |     -0.2742 |        7930.599
  187 |    0.994953 |     -0.2821 |        7927.221
  188 |    0.995590 |     -0.2697 |        7932.301
  189 |    0.994540 |     -0.2897 |        7923.929
  190 |    0.995567 |     -0.2699 |        7932.115
  191 |    0.994127 |     -0.2974 |        7920.644
  192 |    0.995543 |     -0.2701 |        7931.925
  193 |    0.993703 |     -0.3052 |        7917.266
  194 |    0.995525 |     -0.2703 |        7931.784
  195 |    0.993390 |     -0.3111 |        7914.772
  196 |    0.995503 |     -0.2705 |        7931.603
  197 |    0.992989 |     -0.3185 |        7911.576
  198 |    0.995479 |     -0.2707 |        7931.412
  199 |    0.992567 |     -0.3264 |        7908.212
  200 |    0.995455 |     -0.2709 |        7931.224
  201 |    0.992150 |     -0.3341 |        7904.890
  202 |    0.995432 |     -0.2711 |        7931.039
  203 |    0.991739 |     -0.3418 |        7901.615
  204 |    0.995408 |     -0.2713 |        7930.849
  205 |    0.991318 |     -0.3496 |        7898.264
  206 |    0.995385 |     -0.2715 |        7930.663
  207 |    0.990905 |     -0.3573 |        7894.970
  208 |    0.995361 |     -0.2717 |        7930.476
  209 |    0.990492 |     -0.3651 |        7891.676
  210 |    0.995340 |     -0.2719 |        7930.307
  211 |    0.990115 |     -0.3721 |        7888.679
  212 |    0.995331 |     -0.2720 |        7930.235
  213 |    0.989956 |     -0.3751 |        7887.412
  214 |    0.995317 |     -0.2721 |        7930.119
  215 |    0.989698 |     -0.3799 |        7885.355
  216 |    0.995293 |     -0.2723 |        7929.932
  217 |    0.989284 |     -0.3877 |        7882.056
